CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_CHALM,Effect_CHALM,P_CAMDA,Effect_CAMDA,P_haEWAS,Effect_haEWAS,haEWAS_Driver,Group
cg00058009,Huntingtons_Disease_GSE72778,chr4,122853693,122853694,TRPC3;TRPC3,1stExon;Body,Island,2.10E-05,-0.20429059,0.006112922,-0.149243204,0.003107521,0.095668806,0.003107521,0.095668806,None,Beta-only
cg00060304,Huntingtons_Disease_GSE72778,chr11,31837237,31837238,PAX6,5'UTR,Island,0.000929268,0.17222351,0.046265051,0.057214979,0.073927072,0.020718771,0.046265051,0.057214979,None,Beta-only
cg00060374,Huntingtons_Disease_GSE72778,chr1,1355235,1355236,LOC441869;LOC441869,Body;Body,Island,5.61E-07,0.380157078,0.001665407,2.033574765,0.001323473,-0.121991271,0.001323473,-0.121991271,None,Beta-only
cg00060800,Huntingtons_Disease_GSE72778,chr5,141600994,141600995,,,,0.000286337,0.146710053,0.323425345,0.036292678,0.000822813,-0.065263278,0.000822813,-0.065263278,CAMDA,Common
cg00060975,Huntingtons_Disease_GSE72778,chr4,140099768,140099769,,,Island,2.44E-05,-0.304160781,1,0,1,0,1,0,None,Beta-only
cg00061551,Huntingtons_Disease_GSE72778,chr16,5121151,5121152,ALG1,TSS1500,N_Shore,2.68E-05,-0.569264594,0.000295742,-0.326089331,0.00179588,0.260825055,0.000295742,-0.326089331,CHALM,Common
cg00062119,Huntingtons_Disease_GSE72778,chr8,30769864,30769865,,,Island,4.78E-07,0.50026857,1,0,1,0,1,0,None,Beta-only
cg00062367,Huntingtons_Disease_GSE72778,chr14,69950116,69950117,FLJ44817,TSS1500,N_Shore,1.69E-14,-0.578231312,6.47E-15,-0.693147179,4.23E-12,0.452256892,6.47E-15,-0.693147179,Both,Common
cg00062736,Huntingtons_Disease_GSE72778,chr15,100171683,100171684,MEF2A;MEF2A;MEF2A;MEF2A,5'UTR;5'UTR;TSS1500;5'UTR,,0.000272225,0.478960838,0.000282529,0.517661651,0.015454809,0.066752901,0.000282529,0.517661651,CHALM,Common
cg00063006,Huntingtons_Disease_GSE72778,chr6,32847530,32847531,PPP1R2P1,Body,Island,0.001059555,-0.162164519,1,0,1,0,1,0,None,Beta-only
cg00063535,Huntingtons_Disease_GSE72778,chr12,113729491,113729492,TPCN1;TPCN1,Body;Body,,5.99E-05,0.145146622,0.097426163,0.107072758,0.800240221,-0.004540677,0.097426163,0.107072758,None,Beta-only
cg00065302,Huntingtons_Disease_GSE72778,chr21,30366250,30366251,RNF160,TSS1500,S_Shore,0.010774307,0.096257515,0.005864676,0.091931348,0.000843944,-0.076207821,0.000843944,-0.076207821,CAMDA,haEWAS-only
cg00066828,Huntingtons_Disease_GSE72778,chr17,1837612,1837613,,,Island,0.391423315,0.051232767,0.000234482,1.544782514,0.911257312,-0.006172721,0.000234482,1.544782514,CHALM,haEWAS-only
cg00067124,Huntingtons_Disease_GSE72778,chr3,15466687,15466688,METTL6,Body,N_Shelf,0.531940796,0.040420228,0.000625538,0.193568045,0.076235826,-0.017918882,0.000625538,0.193568045,CHALM,haEWAS-only
cg00070715,Huntingtons_Disease_GSE72778,chr5,138862796,138862797,TMEM173,TSS1500,,8.73E-07,-0.271365457,3.31E-05,-0.160943653,0.000568374,0.092434609,3.31E-05,-0.160943653,Both,Common
cg00070870,Huntingtons_Disease_GSE72778,chr6,30691895,30691896,TUBB,Body,S_Shelf,6.57E-06,-0.127824056,1,0,1,0,1,0,None,Beta-only
cg00071026,Huntingtons_Disease_GSE72778,chr13,113650936,113650937,MCF2L;MCF2L,Body;Body,S_Shore,0.268690599,-0.06787366,0.438258201,-0.482717284,0.000157936,-0.222434317,0.000157936,-0.222434317,CAMDA,haEWAS-only
cg00071950,Huntingtons_Disease_GSE72778,chr4,10020882,10020883,SLC2A9;SLC2A9,Body;Body,Island,0.014067406,0.148961333,0.000499135,0.173962288,0.000135386,0.105767781,0.000135386,0.105767781,Both,haEWAS-only
cg00072689,Huntingtons_Disease_GSE72778,chr17,46681111,46681112,LOC404266;LOC404266;HOXB6,Body;Body;5'UTR,,4.29E-06,-0.176817251,1.33E-06,-0.136951682,0.002824487,-0.044158783,1.33E-06,-0.136951682,CHALM,Common
cg00073380,Huntingtons_Disease_GSE72778,chr16,5122085,5122086,ALG1,Body,Island,6.39E-05,0.311682096,0.064813085,0.077020374,0.139414461,0.012360882,0.064813085,0.077020374,None,Beta-only
cg00075507,Huntingtons_Disease_GSE72778,chr17,26708226,26708227,SARM1,Body,Island,0.10696117,-0.053825683,0.007038367,-0.10140387,0.000792417,-0.032659834,0.000792417,-0.032659834,CAMDA,haEWAS-only
cg00077904,Huntingtons_Disease_GSE72778,chr5,151078909,151078910,,,,0.000453266,0.100080555,0.145389728,0.046481977,0.006981401,-0.038855599,0.006981401,-0.038855599,None,Beta-only
cg00078025,Huntingtons_Disease_GSE72778,chr9,117159975,117159976,,,N_Shore,0.170699428,-0.064622452,0.00013529,-0.168327025,8.36E-08,-0.077690958,8.36E-08,-0.077690958,Both,haEWAS-only
cg00078245,Huntingtons_Disease_GSE72778,chr12,53579063,53579064,ZNF740,Body,S_Shelf,0.000747512,0.1591188,0.113195013,0.067371095,0.001596423,-0.137789134,0.001596423,-0.137789134,None,Beta-only
cg00080987,Huntingtons_Disease_GSE72778,chr3,126937362,126937363,,,,0.01108253,-0.071710436,0.001305143,-0.075202614,0.000318486,0.024288706,0.000318486,0.024288706,CAMDA,haEWAS-only
cg00081465,Huntingtons_Disease_GSE72778,chr18,77383609,77383610,,,N_Shelf,0.00331883,0.124466365,0.001484144,0.144027955,2.74E-06,-0.147195526,2.74E-06,-0.147195526,CAMDA,haEWAS-only
cg00082540,Huntingtons_Disease_GSE72778,chr21,46396774,46396775,C21orf70,3'UTR,,2.88E-06,0.184606061,1,0,1,0,1,0,None,Beta-only
cg00082729,Huntingtons_Disease_GSE72778,chr4,54630659,54630660,,,,5.04E-06,-0.480890079,0.868592918,-0.01862116,1,0,0.868592918,-0.01862116,None,Beta-only
cg00082787,Huntingtons_Disease_GSE72778,chr22,29424662,29424663,ZNRF3,Body,N_Shore,0.03224548,-0.139536666,0.001928436,-0.234385882,0.000746943,0.117210406,0.000746943,0.117210406,CAMDA,haEWAS-only
cg00083937,Huntingtons_Disease_GSE72778,chr22,51039805,51039806,MAPK8IP2,Body,S_Shore,0.000220673,-0.15549918,0.003945939,-0.130752895,0.001479384,-0.038107363,0.001479384,-0.038107363,None,Beta-only
cg00084271,Huntingtons_Disease_GSE72778,chr1,160121487,160121488,ATP1A4;ATP1A4,1stExon;5'UTR,,2.66E-16,1.69963828,0.034463573,-0.223392061,0.964414159,0.00711702,0.034463573,-0.223392061,None,Beta-only
cg00087316,Huntingtons_Disease_GSE72778,chr4,180978709,180978710,,,N_Shore,2.57E-05,-0.214525312,0.000614961,-0.16524905,0.543518496,-0.001230736,0.000614961,-0.16524905,CHALM,Common
cg00088183,Huntingtons_Disease_GSE72778,chr1,91185168,91185169,,,Island,0.000745289,0.193208649,0.004175918,0.089217898,0.63562298,-0.003325901,0.004175918,0.089217898,None,Beta-only
cg00088688,Huntingtons_Disease_GSE72778,chr6,167560504,167560505,,,,2.45E-05,0.15883708,0.638334702,0.016811079,0.081245934,-0.017949768,0.081245934,-0.017949768,None,Beta-only
cg00089384,Huntingtons_Disease_GSE72778,chr15,51972699,51972700,SCG3;SCG3,TSS1500;TSS1500,N_Shore,9.37E-06,0.243598276,0.024106234,0.118703542,1,0,0.024106234,0.118703542,None,Beta-only
cg00091953,Huntingtons_Disease_GSE72778,chr4,143326541,143326542,INPP4B;INPP4B,Body;Body,,0.000392463,-0.209412629,0.15816295,-0.070275065,0.98723423,0.000279931,0.15816295,-0.070275065,None,Beta-only
cg00092518,Huntingtons_Disease_GSE72778,chr13,50070550,50070551,PHF11;PHF11;PHF11,Body;1stExon;5'UTR,Island,0.000775354,0.193417386,1,0,1,0,1,0,None,Beta-only
cg00094898,Huntingtons_Disease_GSE72778,chr16,55365950,55365951,,,Island,0.006589268,-0.142480694,0.094250583,-0.114474804,0.000523331,-0.043696573,0.000523331,-0.043696573,CAMDA,haEWAS-only
cg00095677,Huntingtons_Disease_GSE72778,chr17,3833739,3833740,ATP2A3;ATP2A3;ATP2A3;ATP2A3;ATP2A3;ATP2A3;ATP2A3,Body;Body;Body;Body;Body;Body;Body,,5.21E-13,-0.924099464,0.686958182,-0.023898483,6.37E-07,0.802030612,6.37E-07,0.802030612,CAMDA,Common
cg00097357,Huntingtons_Disease_GSE72778,chr12,33591336,33591337,SYT10,Body,N_Shore,2.60E-08,0.255697546,0.032525538,0.08501691,0.000129237,0.029429849,0.000129237,0.029429849,CAMDA,Common
cg00098029,Huntingtons_Disease_GSE72778,chr4,187984506,187984507,,,Island,0.000136404,0.143500588,0.002357502,0.122880578,0.150435807,-0.051060226,0.002357502,0.122880578,None,Beta-only
cg00098336,Huntingtons_Disease_GSE72778,chr1,39273267,39273268,,,S_Shelf,0.033031268,0.125807905,0.100965032,0.078446335,6.03E-05,-0.191131552,6.03E-05,-0.191131552,CAMDA,haEWAS-only
cg00099094,Huntingtons_Disease_GSE72778,chr5,2334514,2334515,,,,7.48E-05,0.243062322,1.52E-06,0.33278501,0.00494764,-0.09600112,1.52E-06,0.33278501,CHALM,Common
cg00099393,Huntingtons_Disease_GSE72778,chr7,157361621,157361622,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,Island,0.000123184,0.155946047,0.1105609,0.051851607,0.049436508,0.042623469,0.049436508,0.042623469,None,Beta-only
cg00099835,Huntingtons_Disease_GSE72778,chr2,97427033,97427034,CNNM4,1stExon,Island,0.108565522,0.089601662,0.152269708,0.054888907,0.000227143,0.090351553,0.000227143,0.090351553,CAMDA,haEWAS-only
cg00101154,Huntingtons_Disease_GSE72778,chr16,420108,420109,MRPL28,Body,Island,2.33E-10,-0.755673963,0.177962258,-0.192991631,0.006373316,-0.11328776,0.006373316,-0.11328776,None,Beta-only
cg00101940,Huntingtons_Disease_GSE72778,chr16,85479301,85479302,,,,0.965380066,-0.002042147,0.496289629,-0.0418531,9.12E-05,-0.074992914,9.12E-05,-0.074992914,CAMDA,haEWAS-only
cg00102685,Huntingtons_Disease_GSE72778,chr3,186645653,186645654,,,N_Shelf,7.37E-07,0.442010466,0.272923432,0.08190625,0.950782943,-0.004126607,0.272923432,0.08190625,None,Beta-only
cg00105253,Huntingtons_Disease_GSE72778,chr14,105647194,105647195,NUDT14,Body,N_Shore,0.245697569,-0.040347435,0.032596054,-0.070565069,8.22E-05,-0.053498215,8.22E-05,-0.053498215,CAMDA,haEWAS-only
cg00106345,Huntingtons_Disease_GSE72778,chr7,27138396,27138397,,,S_Shore,0.090889457,-0.145510441,0.718408317,-0.025912577,0.000348149,-0.106955312,0.000348149,-0.106955312,CAMDA,haEWAS-only
cg00106609,Huntingtons_Disease_GSE72778,chr22,50714562,50714563,PLXNB2,Body,N_Shore,0.020832484,0.09721423,2.22E-05,0.231654903,0.016231282,-0.024268547,2.22E-05,0.231654903,CHALM,haEWAS-only
cg00107241,Huntingtons_Disease_GSE72778,chr1,29461070,29461071,,,Island,0.225779557,-0.073097102,0.181943703,-0.124223446,0.000436496,0.147382249,0.000436496,0.147382249,CAMDA,haEWAS-only
cg00107490,Huntingtons_Disease_GSE72778,chr22,19509318,19509319,,,N_Shore,0.138421739,0.064025198,0.000458621,-0.168894929,0.230672485,-0.022151553,0.000458621,-0.168894929,CHALM,haEWAS-only
cg00107667,Huntingtons_Disease_GSE72778,chr12,131941518,131941519,,,N_Shelf,2.06E-09,0.518384992,0.008353561,0.307920962,1.20E-12,-0.385036994,1.20E-12,-0.385036994,CAMDA,Common
cg00108524,Huntingtons_Disease_GSE72778,chr1,30559124,30559125,,,,0.00168823,0.17436576,0.00288806,0.069257713,0.000342599,0.034647665,0.000342599,0.034647665,CAMDA,haEWAS-only
cg00112260,Huntingtons_Disease_GSE72778,chr1,32104920,32104921,PEF1,Body,,0.000459773,-0.170131674,0.063793876,-0.088181574,0.040997783,0.068827368,0.040997783,0.068827368,None,Beta-only
cg00114966,Huntingtons_Disease_GSE72778,chr1,197893920,197893921,LHX9;LHX9,Body;Body,S_Shelf,0.001149768,0.219885937,0.401653639,0.057718466,0.074930627,-0.02278092,0.074930627,-0.02278092,None,Beta-only
cg00115178,Huntingtons_Disease_GSE72778,chr10,12648176,12648177,CAMK1D;CAMK1D,Body;Body,,0.009195064,0.193779474,4.91E-09,0.527001449,1.03E-05,0.079740421,4.91E-09,0.527001449,Both,haEWAS-only
cg00115954,Huntingtons_Disease_GSE72778,chr8,11536551,11536552,,,N_Shore,0.000645688,0.118882392,0.685474472,0.013426314,0.01382645,-0.02119792,0.01382645,-0.02119792,None,Beta-only
cg00116092,Huntingtons_Disease_GSE72778,chr1,217313044,217313045,,,S_Shore,1.30E-07,0.26314288,0.001412263,0.135587183,0.019500764,0.011345418,0.001412263,0.135587183,None,Beta-only
cg00117012,Huntingtons_Disease_GSE72778,chr15,73996358,73996359,CD276;CD276,Body;Body,,0.594432211,0.030854605,0.005216382,0.190978415,0.000615573,-0.193586131,0.000615573,-0.193586131,CAMDA,haEWAS-only
cg00117869,Huntingtons_Disease_GSE72778,chr10,126198993,126198994,LHPP;LHPP,Body;Body,,3.31E-15,0.721630686,1.02E-07,0.560934479,5.70E-19,-0.642869182,5.70E-19,-0.642869182,Both,Common
cg00119034,Huntingtons_Disease_GSE72778,chr4,8623002,8623003,,,N_Shelf,0.000317319,-0.094674451,6.20E-06,-0.153381828,0.005095581,0.056523351,6.20E-06,-0.153381828,CHALM,Common
cg00119896,Huntingtons_Disease_GSE72778,chr7,3083721,3083722,CARD11,TSS200,,0.000818809,0.087281031,0.008190846,0.057101573,0.000162572,-0.015991307,0.000162572,-0.015991307,CAMDA,Common
cg00121030,Huntingtons_Disease_GSE72778,chr1,149149314,149149315,,,Island,0.039882181,0.074530489,0.00304045,0.141382812,0.000148833,-0.025303889,0.000148833,-0.025303889,CAMDA,haEWAS-only
cg00122779,Huntingtons_Disease_GSE72778,chr6,32033006,32033007,TNXB,Body,,0.000406586,-0.759412389,1,0,1,0,1,0,None,Beta-only
cg00122944,Huntingtons_Disease_GSE72778,chr10,6227266,6227267,PFKFB3,Body,,0.000102789,0.146427626,0.006331438,0.238669758,0.040413994,-0.063290582,0.006331438,0.238669758,None,Beta-only
cg00124902,Huntingtons_Disease_GSE72778,chr1,34645109,34645110,C1orf94;C1orf94,Body;5'UTR,S_Shelf,0.010160065,0.529136129,4.60E-07,1.367807302,1,0,4.60E-07,1.367807302,CHALM,haEWAS-only
cg00125858,Huntingtons_Disease_GSE72778,chr1,44569398,44569399,,,Island,0.002911303,0.115812369,0.104211722,0.098258938,9.77E-07,-0.154203751,9.77E-07,-0.154203751,CAMDA,haEWAS-only
cg00125893,Huntingtons_Disease_GSE72778,chr15,71747687,71747688,THSD4,Body,,1.16E-08,-1.26605875,0.36156527,-0.253858115,1.80E-07,0.667154755,1.80E-07,0.667154755,CAMDA,Common
cg00129827,Huntingtons_Disease_GSE72778,chr6,71394664,71394665,SMAP1;SMAP1,Body;Body,,0.002164162,-0.120403152,8.49E-05,-0.145808611,1,0,8.49E-05,-0.145808611,CHALM,haEWAS-only
cg00131705,Huntingtons_Disease_GSE72778,chr16,615073,615074,C16orf11,Body,Island,0.000844625,0.232241246,0.768490618,0.06167117,0.335502873,-0.577530991,0.335502873,-0.577530991,None,Beta-only
cg00133234,Huntingtons_Disease_GSE72778,chr16,1506028,1506029,CLCN7;CLCN7,Body;Body,Island,0.000771033,0.157321992,0.125772699,0.043849334,0.12805906,-0.071039411,0.125772699,0.043849334,None,Beta-only
cg00134415,Huntingtons_Disease_GSE72778,chr22,38856689,38856690,,,N_Shore,7.31E-05,-0.068498655,1.36E-05,-0.08971493,0.99959155,-1.73E-06,1.36E-05,-0.08971493,CHALM,Common
