CpG_ID,Dataset,chromosome,start,end,gene_name,gene_region,relation_to_island,P_Beta,Effect_Beta,P_haEWAS,Effect_haEWAS,Group
cg00326251,Total_PBB_Exposure_GSE116339,chr8,23262648,23262649,LOXL2,TSS1500,S_Shore,6.02157113995218e-07,-0.0031526058294981,8.0705369812503e-08,-0.0030182770266553,Common
cg00331199,Total_PBB_Exposure_GSE116339,chr8,67638560,67638561,C8orf44-SGK3;SGK3,5'UTR;5'UTR,,0.120162182696991,0.0015323632052358,0.00010939013304,-0.0020352553967104,haEWAS-specific
cg00334968,Total_PBB_Exposure_GSE116339,chr1,78841094,78841095,,,,0.0279724858439148,0.0021817099728996,3.31194005073504e-06,0.0039151806100811,haEWAS-specific
cg00336220,Total_PBB_Exposure_GSE116339,chr2,96940284,96940285,SNRNP200,3'UTR,,1.48965124426163e-05,-0.0036053870177219,0.0002323251337035,0.0017814999666637,EWAS-specific
cg00339556,Total_PBB_Exposure_GSE116339,chr5,16180048,16180049,MARCH11,TSS200,Island,0.0422718881283987,0.0017204610154358,3.56409289032561e-05,0.0002497379022563,haEWAS-specific
cg00354484,Total_PBB_Exposure_GSE116339,chr2,114007283,114007284,PAX8;PAX8;LOC654433;PAX8;PAX8;PAX8;LOC440839,Body;Body;Body;Body;Body;Body;Body,,0.0204377959975095,0.002548132729337,3.03037586383033e-05,0.0036199751362684,haEWAS-specific
cg00358496,Total_PBB_Exposure_GSE116339,chr17,70693956,70693957,SLC39A11;SLC39A11,Body;Body,,0.015063170264536,0.0012232327785482,2.9479268250245e-05,0.0037639770883908,haEWAS-specific
cg00369181,Total_PBB_Exposure_GSE116339,chr2,438948,438949,,,,0.0326049530201194,-0.001613938396132,3.82182479872435e-05,0.0020241297607083,haEWAS-specific
cg00371453,Total_PBB_Exposure_GSE116339,chr19,7854482,7854483,CLEC4GP1,Body,Island,0.0045700423324573,-0.0026123037347434,5.7063873975834e-05,-0.0005358011530789,haEWAS-specific
cg00386456,Total_PBB_Exposure_GSE116339,chr19,49926070,49926071,PTH2,Body,S_Shore,2.08652472093128e-05,0.0075080689752341,0.0001142871663444,0.0003245953368141,Common
cg00388195,Total_PBB_Exposure_GSE116339,chr7,96647323,96647324,,,S_Shore,0.0082000290234246,0.0024419012812481,3.99351847861624e-08,0.0033015069280416,haEWAS-specific
cg00388248,Total_PBB_Exposure_GSE116339,chr17,21308356,21308357,KCNJ18;KCNJ12,TSS200;5'UTR,,0.0559267495085594,0.0013758551446494,7.99353539902878e-05,-0.0017009566174973,haEWAS-specific
cg00388716,Total_PBB_Exposure_GSE116339,chr5,98108862,98108863,RGMB-AS1;RGMB,TSS200;Body,Island,0.0119995172008862,0.0018506018565219,1.26482008803546e-09,0.0013146940248512,haEWAS-specific
cg00394844,Total_PBB_Exposure_GSE116339,chr19,18343302,18343303,PDE4C,Body,N_Shore,0.0018234215836803,0.0038417852624015,6.21807676736788e-05,0.0033361056809843,haEWAS-specific
cg00397286,Total_PBB_Exposure_GSE116339,chr2,98986316,98986317,CNGA3;CNGA3,5'UTR;5'UTR,,0.678372905454592,0.0003118878224696,2.04183507283461e-06,0.0226666869073059,haEWAS-specific
cg00402312,Total_PBB_Exposure_GSE116339,chr2,191447673,191447674,,,,0.0004488954455796,-0.0032401859583287,5.74480544118072e-06,-0.0034045680952361,haEWAS-specific
cg00415333,Total_PBB_Exposure_GSE116339,chr6,137493017,137493018,IL22RA2;IL22RA2;IL22RA2,5'UTR;5'UTR;5'UTR,,1.72484574361194e-06,-0.0082875561826655,0.0004122405906638,-0.0052605735680248,EWAS-specific
cg00440836,Total_PBB_Exposure_GSE116339,chr6,149135777,149135778,UST,Body,,0.0655296460125804,0.0016524068407251,0.0001485941045859,-0.0010926586517183,haEWAS-specific
cg00444390,Total_PBB_Exposure_GSE116339,chr11,7950225,7950226,OR10A6,TSS200,,4.61883343902727e-06,-0.0056464680074086,1.0,0.0,EWAS-specific
cg00446697,Total_PBB_Exposure_GSE116339,chr11,1542313,1542314,HCCA2,Body,,0.0003974057511078,-0.0044686178215835,2.45325518942121e-05,-0.0054468638646271,haEWAS-specific
cg00452500,Total_PBB_Exposure_GSE116339,chr7,47680647,47680648,,,,0.0082967123829226,-0.0035241850899602,1.40772517121595e-06,-0.0007769731297762,haEWAS-specific
cg00452882,Total_PBB_Exposure_GSE116339,chr16,67687119,67687120,RLTPR,Body,Island,0.0009373578618801,0.0087640518970653,1.6278482524122e-26,0.0342762633230675,haEWAS-specific
cg00467960,Total_PBB_Exposure_GSE116339,chr11,35773194,35773195,TRIM44,Body,,5.41688314824892e-05,0.0053689087641054,6.97815722540694e-05,-0.0032847076878677,haEWAS-specific
cg00470794,Total_PBB_Exposure_GSE116339,chr12,133464685,133464686,CHFR;CHFR;CHFR;CHFR;CHFR,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,Island,0.0004960313026695,-0.0019848142308571,1.74270948860491e-05,-0.0010459776416634,haEWAS-specific
cg00473730,Total_PBB_Exposure_GSE116339,chr12,101069491,101069492,,,,0.195389452206928,0.0011858084479853,2.83837113991963e-06,-9.32309579150463e-05,haEWAS-specific
cg00475652,Total_PBB_Exposure_GSE116339,chr10,94902380,94902381,,,,0.0082576414224621,-0.0022712049580987,6.55324252785358e-06,-0.0033780825540875,haEWAS-specific
cg00497443,Total_PBB_Exposure_GSE116339,chr12,53351207,53351208,,,,0.0961756421746215,-0.00132844942504,3.82740175671487e-05,0.0020421960404352,haEWAS-specific
cg00513169,Total_PBB_Exposure_GSE116339,chr10,1713065,1713066,ADARB2,Body,,0.0439039432274419,0.0024337300782718,0.0001126234260211,-0.003076547966978,haEWAS-specific
cg00516513,Total_PBB_Exposure_GSE116339,chr4,41753803,41753804,,,Island,0.0003885487920531,0.0022910919386074,5.09371951762065e-05,3.9917186012547e-05,haEWAS-specific
cg00522398,Total_PBB_Exposure_GSE116339,chr20,37469321,37469322,PPP1R16B;PPP1R16B,Body;Body,,0.005358273378652,0.002419801263448,0.0001116511737641,-0.0025266493497044,haEWAS-specific
cg00531924,Total_PBB_Exposure_GSE116339,chr6,111279890,111279891,GTF3C6;GTF3C6,1stExon;5'UTR,Island,1.05059828143319e-05,0.0025115591861727,2.84887059554743e-05,0.0009366241318253,Common
cg00536436,Total_PBB_Exposure_GSE116339,chr5,111584972,111584973,LOC101927023;EPB41L4A,Body;Body,,0.0667534081572114,0.0015656303926674,8.27544495379179e-05,-0.0018755518289311,haEWAS-specific
cg00543944,Total_PBB_Exposure_GSE116339,chr4,123524574,123524575,,,,0.0036096614823189,0.0028648286754881,4.95025840162776e-05,0.0036815172757228,haEWAS-specific
cg00554165,Total_PBB_Exposure_GSE116339,chr5,172536348,172536349,C5orf41,Body,,0.0081556829514805,0.0029314699743481,9.62529131335029e-05,-0.0024802806286659,haEWAS-specific
cg00561025,Total_PBB_Exposure_GSE116339,chr22,39184272,39184273,DNAL4,5'UTR,,0.0054642231889004,0.0018507129186325,2.27032689841281e-05,-0.0002872528476496,haEWAS-specific
cg00576331,Total_PBB_Exposure_GSE116339,chr11,65640516,65640517,EFEMP2,TSS200,Island,0.0165197743741853,0.0020175179818215,2.61318313712922e-08,0.0011515925268613,haEWAS-specific
cg00581154,Total_PBB_Exposure_GSE116339,chr1,3123695,3123696,PRDM16;PRDM16,Body;Body,,0.007803819694056,0.0019810572881703,1.71063537014356e-06,-0.0020772042597358,haEWAS-specific
cg00584422,Total_PBB_Exposure_GSE116339,chr16,23724774,23724775,ERN2;ERN2,5'UTR;1stExon,Island,0.0073487780955936,0.0036292551584441,4.50156528220827e-11,-0.001123754691771,haEWAS-specific
cg00585558,Total_PBB_Exposure_GSE116339,chr10,92631152,92631153,RPP30;RPP30,TSS1500;TSS1500,,1.40678443345264e-06,0.0041204299800067,2.94284467527326e-07,0.002433252930111,Common
cg00597687,Total_PBB_Exposure_GSE116339,chr1,63785003,63785004,,,Island,0.0233754055077192,0.0020345878447925,1.53468144403344e-05,-0.0004113012433898,haEWAS-specific
cg00609333,Total_PBB_Exposure_GSE116339,chr12,16505000,16505001,MGST1;MGST1;MGST1;MGST1,TSS1500;5'UTR;5'UTR;5'UTR,,0.0119546589709462,0.001630490957754,5.90680680096083e-06,-0.0008238663383085,haEWAS-specific
cg00609834,Total_PBB_Exposure_GSE116339,chr11,13984596,13984597,SPON1,1stExon,Island,0.0370319718049958,0.0015016727165149,8.88465696497075e-05,0.0017002053422911,haEWAS-specific
cg00625303,Total_PBB_Exposure_GSE116339,chr1,44949534,44949535,RNF220,Body,,0.0108445429698128,0.0023569330591225,1.70988498413022e-05,0.0033764647015965,haEWAS-specific
cg00630991,Total_PBB_Exposure_GSE116339,chr12,12252249,12252250,BCL2L14;BCL2L14;BCL2L14,3'UTR;3'UTR;3'UTR,,6.40566058122302e-05,0.0043413696599992,1.66150024506744e-06,0.0046181000732974,haEWAS-specific
cg00641279,Total_PBB_Exposure_GSE116339,chr11,11970715,11970716,USP47;USP47,Body;Body,,0.07780829658717,0.0017966442323743,8.85223442565321e-05,-0.0060054459313827,haEWAS-specific
cg00643341,Total_PBB_Exposure_GSE116339,chr15,89147847,89147848,,,Island,0.0008209838411089,0.0019701033535972,2.0406613012513103e-09,4.91618785542987e-05,haEWAS-specific
cg00646185,Total_PBB_Exposure_GSE116339,chr15,26234833,26234834,,,Island,0.555339019245887,-0.0004637346068497,9.46240191071124e-07,-0.0152271764913537,haEWAS-specific
cg00647232,Total_PBB_Exposure_GSE116339,chr1,177938408,177938409,SEC16B,5'UTR,,0.741788830809623,-0.0005162799627851,5.74960386231647e-05,-0.0099563224789203,haEWAS-specific
cg00657460,Total_PBB_Exposure_GSE116339,chr18,52901961,52901962,TCF4;TCF4,Body;Body,,0.0802657220337822,-0.0008577751498906,6.50114722694338e-06,-0.0001754482411138,haEWAS-specific
cg00672277,Total_PBB_Exposure_GSE116339,chr3,138169728,138169729,ESYT3,Body,N_Shore,0.0032095953167555,0.0021557938078616,6.73556163270802e-05,-0.001322805783517,haEWAS-specific
cg00672712,Total_PBB_Exposure_GSE116339,chr7,99752629,99752630,C7orf43,3'UTR,N_Shelf,0.199254158709005,-0.0008217484973212,3.43020024415985e-05,0.0021474279657848,haEWAS-specific
cg00699794,Total_PBB_Exposure_GSE116339,chr11,101826980,101826981,CEP126,Body,,0.127717347729,0.0015335122521077,2.54142964118516e-05,-0.002113309005458,haEWAS-specific
cg00700487,Total_PBB_Exposure_GSE116339,chr7,150706128,150706129,NOS3,Body,Island,0.0258383949362505,0.0028237110753769,9.80242399841238e-06,-0.0027551440662729,haEWAS-specific
cg00707406,Total_PBB_Exposure_GSE116339,chr5,140167620,140167621,PCDHA1;PCDHA1;PCDHA1,Body;1stExon;1stExon,Island,0.685146590685212,0.0005439026259501,0.0001409843903832,-0.0034384954193314,haEWAS-specific
cg00709112,Total_PBB_Exposure_GSE116339,chr10,118369983,118369984,,,S_Shore,0.995898238542703,6.75883795646291e-06,6.60006414749875e-06,-0.0076890092816179,haEWAS-specific
cg00717207,Total_PBB_Exposure_GSE116339,chr15,69755349,69755350,,,,2.53034647040227e-05,0.0029088048753617,1.0,0.0,EWAS-specific
cg00730630,Total_PBB_Exposure_GSE116339,chr6,77151627,77151628,,,,0.0040332393074226,0.0036511611116822,5.42717470155591e-05,-0.0022852732010419,haEWAS-specific
cg00739004,Total_PBB_Exposure_GSE116339,chr1,201828531,201828532,IPO9,Body,,5.8108849344510605e-09,-0.0072016328205448,9.007058398541879e-11,0.0031723866242816,Common
cg00741731,Total_PBB_Exposure_GSE116339,chr19,42348676,42348677,LYPD4;DMRTC2,TSS200;TSS1500,Island,4.97579463646379e-07,-0.0046306716032073,4.27411130243378e-08,0.0036742197119417,Common
cg00743094,Total_PBB_Exposure_GSE116339,chr13,100547968,100547969,CLYBL,3'UTR,Island,0.0008751482390759,0.0030710403936184,3.70237872043419e-07,0.0021689428894922,haEWAS-specific
cg00747152,Total_PBB_Exposure_GSE116339,chr19,39339713,39339714,HNRNPL;HNRNPL,5'UTR;Body,N_Shore,0.381812952620812,-0.000634823116554,1.38244795906384e-07,-9.89248803777726e-05,haEWAS-specific
cg00750225,Total_PBB_Exposure_GSE116339,chr6,1664673,1664674,GMDS,Body,,0.0014750979426087,0.0035454520011152,7.33626929693226e-05,0.0053908138935367,haEWAS-specific
cg00758296,Total_PBB_Exposure_GSE116339,chr22,45402995,45402996,PHF21B;PHF21B,Body;Body,N_Shore,0.0034223835528647,-0.0023241340255407,3.08184178848952e-05,8.25010665996313e-05,haEWAS-specific
cg00762997,Total_PBB_Exposure_GSE116339,chrX,106299502,106299503,,,,0.0135518314488198,0.0029878006497872,8.28553488776817e-05,-0.0025223393749132,haEWAS-specific
cg00769632,Total_PBB_Exposure_GSE116339,chr4,185655968,185655969,CENPU;CENPU,TSS1500;TSS1500,S_Shore,0.974194171992421,5.27780789700901e-05,7.73049199998146e-05,-0.0005073729595211,haEWAS-specific
cg00778807,Total_PBB_Exposure_GSE116339,chr1,43524347,43524348,,,,0.0064085265505873,0.00170510249132,1.95304340203469e-05,0.0009794873623899,haEWAS-specific
cg00779065,Total_PBB_Exposure_GSE116339,chr14,61119218,61119219,,,S_Shelf,0.0009087249588295,0.0019712427414575,5.00551245160177e-14,-0.0002539550807105,haEWAS-specific
cg00781389,Total_PBB_Exposure_GSE116339,chr2,25015979,25015980,PTRHD1;CENPO;CENPO,Body;TSS1500;TSS200,Island,0.0009006409178995,0.0024533326571815,0.0001155641387465,0.0003493979506592,haEWAS-specific
cg00782854,Total_PBB_Exposure_GSE116339,chr20,30310858,30310859,BCL2L1;BCL2L1,TSS1500;TSS1500,N_Shore,0.0006014372077166,-0.0020864882797875,1.93512303882545e-05,-0.0017498528254517,haEWAS-specific
cg00805193,Total_PBB_Exposure_GSE116339,chr20,62609362,62609363,SAMD10,Body,N_Shore,0.0439374584004878,0.0012048559712553,2.74324249448461e-05,0.0024062527122625,haEWAS-specific
cg00806364,Total_PBB_Exposure_GSE116339,chr11,36769132,36769133,,,,0.024626404435282,-0.0021151137075527,0.0001227291813677,0.0016407213243204,haEWAS-specific
cg00826728,Total_PBB_Exposure_GSE116339,chr10,33624131,33624132,NRP1;NRP1;NRP1,TSS1500;TSS1500;TSS1500,Island,0.0255477755329556,0.0017239192075499,1.93248451107532e-15,0.0003072790857693,haEWAS-specific
cg00844231,Total_PBB_Exposure_GSE116339,chr1,247486775,247486776,ZNF496,Body,,0.038581348350512,0.0023186894320329,3.2563783649794795e-11,-0.0001490682233027,haEWAS-specific
cg00844950,Total_PBB_Exposure_GSE116339,chr19,1789060,1789061,ATP8B3,Body,N_Shore,0.010576801366097,0.0023972879891131,3.51849435782802e-06,0.0001216125904705,haEWAS-specific
cg00850039,Total_PBB_Exposure_GSE116339,chr19,12476508,12476509,ZNF442,TSS200,S_Shore,0.0811621353242612,0.0011981193391191,5.05365875953487e-09,0.0013371382995618,haEWAS-specific
cg00852548,Total_PBB_Exposure_GSE116339,chr10,98898335,98898336,SLIT1,Body,,7.53553467063743e-06,-0.0048253123489968,8.80341662594766e-07,0.0028248189961036,Common
cg00861646,Total_PBB_Exposure_GSE116339,chr4,160026608,160026609,,,S_Shore,0.0002362455724828,-0.0028690088854419,1.72723595313597e-05,-0.0026795667758003,haEWAS-specific
cg00877095,Total_PBB_Exposure_GSE116339,chr19,38146523,38146524,ZFP30,TSS1500,Island,0.0001894999955286,0.0026327496213405,1.7634107140546e-05,-0.0007090798552636,haEWAS-specific
cg00891025,Total_PBB_Exposure_GSE116339,chr8,21915184,21915185,EPB49;EPB49;EPB49;EPB49,TSS200;5'UTR;5'UTR;5'UTR,S_Shore,0.0004904153377318,-0.0016607088087698,3.34091567689599e-05,-0.0017038645248749,haEWAS-specific
cg00891934,Total_PBB_Exposure_GSE116339,chr9,96026031,96026032,WNK2;WNK2;WNK2;WNK2,ExonBnd;ExonBnd;Body;Body,,0.0044092243641361,-0.0018986010525321,0.0001117879230689,0.0019129762527321,haEWAS-specific
cg00893242,Total_PBB_Exposure_GSE116339,chr7,127291580,127291581,SND1,TSS1500,N_Shore,0.0003060200061334,0.0047600216215822,6.93166722674932e-05,0.0026028801825573,haEWAS-specific
cg00899076,Total_PBB_Exposure_GSE116339,chr14,38060140,38060141,FOXA1,3'UTR,N_Shore,0.0556944381072859,-0.0031391622122023,3.90273866288896e-05,-0.0057229962649406,haEWAS-specific
cg00935894,Total_PBB_Exposure_GSE116339,chr8,110705093,110705094,GOLSYN;GOLSYN,TSS1500;TSS1500,S_Shore,0.0354375081710312,-0.002857602093486,6.39817863526696e-05,0.0043689902968844,haEWAS-specific
cg00939910,Total_PBB_Exposure_GSE116339,chr12,125066040,125066041,,,,0.0018630035593143,-0.0026982045572127,9.40655939146595e-06,-0.0015745207493884,haEWAS-specific
cg00951597,Total_PBB_Exposure_GSE116339,chr1,162039149,162039150,NOS1AP;NOS1AP,TSS1500;TSS1500,N_Shore,0.0017603717056894,0.0026305585074064,1.46917030133191e-08,0.0001128772996179,haEWAS-specific
cg00952029,Total_PBB_Exposure_GSE116339,chr12,109159381,109159382,,,N_Shelf,0.339645493933012,-0.00073039230824,2.02574328506504e-06,0.002342771323811,haEWAS-specific
cg00966379,Total_PBB_Exposure_GSE116339,chr5,71945528,71945529,LOC102477328,Body,,0.0030160839962884,0.0020127454687897,1.61788145404976e-06,-0.0006438046288128,haEWAS-specific
cg00970752,Total_PBB_Exposure_GSE116339,chr1,15711443,15711444,FHAD1,Body,,0.0110137237000044,-0.003362646126405,3.14631509066918e-05,-0.0051451772987444,haEWAS-specific
cg00974941,Total_PBB_Exposure_GSE116339,chr7,48075316,48075317,C7orf57,5'UTR,Island,2.71865198564906e-05,0.0040505849875127,0.0001252741919145,0.0009735474215882,haEWAS-specific
cg00996018,Total_PBB_Exposure_GSE116339,chr16,87596070,87596071,,,,0.223160413305535,-0.0009559158314961,2.32781123326956e-06,-0.0012758630254893,haEWAS-specific
cg00996377,Total_PBB_Exposure_GSE116339,chr16,89689757,89689758,DPEP1;DPEP1,5'UTR;5'UTR,,0.0270474032515594,-0.0021887576215272,1.21472483436777e-05,0.0027534611104972,haEWAS-specific
cg00998075,Total_PBB_Exposure_GSE116339,chr11,2419748,2419749,,,N_Shore,0.0191459797067518,-0.0016880563039478,8.01012416436202e-05,-0.0018850294946067,haEWAS-specific
cg01002233,Total_PBB_Exposure_GSE116339,chr1,175931664,175931665,RFWD2;RFWD2,Body;Body,,2.38660001622116e-07,-0.0059907374906255,1.39191756061746e-08,-0.0096530727509169,Common
cg01019512,Total_PBB_Exposure_GSE116339,chr12,104323690,104323691,HSP90B1;MIR3652;TTC41P,TSS1500;TSS1500;Body,Island,0.0502096884532216,-0.00113358898496,0.0001034363444463,-0.0002426623219602,haEWAS-specific
cg01022840,Total_PBB_Exposure_GSE116339,chr14,71250264,71250265,MAP3K9,Body,,0.002515720398982,0.0032121605862395,3.45605634754066e-05,-0.0025463526919155,haEWAS-specific
cg01029450,Total_PBB_Exposure_GSE116339,chr22,43253559,43253560,ARFGAP3;ARFGAP3,TSS200;TSS200,Island,0.0025379100278691,-0.0028031266644539,0.0001189109729988,0.0007504032477294,haEWAS-specific
